iso_alpha_3,year,total_emissions_excl_lulucf,total_emissions
SEN,2000,13.558691086646,0.5586910866460002
SEN,2001,14.384456631549,1.384456631549
SEN,2002,14.455010793774,1.4550107937740009
SEN,2003,14.426894604455,1.4268946044550006
SEN,2004,15.244214729103,2.2442147291029997
SEN,2005,16.072049723351,3.0720497233510002
SEN,2006,16.302797416408,3.3027974164080014
SEN,2007,17.256944533191,4.256944533191
SEN,2008,18.004312257121,5.004312257121001
SEN,2009,18.764681634951,5.764681634951
SEN,2010,19.500865254269,6.700865254269001
SEN,2011,20.226823832108,7.626823832108
SEN,2012,20.569748669108,8.169748669108001
SEN,2013,21.063081928797,8.863081928797001
SEN,2014,21.816963742128,9.816963742128
SEN,2015,23.425088649076,11.425088649075999
SEN,2016,24.958790357104,12.958790357104
SEN,2017,24.961804259826,12.961804259826
SEN,2018,25.914999724618,13.914999724618
SEN,2019,26.465734498636,14.465734498636
SEN,2020,27.16183626793,14.16183626793
SEN,2021,29.548698447524,16.548698447524
SEN,2022,31.500777863908,18.500777863908
SEN,2023,31.075388920497,18.075388920497
SGP,2000,57.243345789652,57.236501084652
SGP,2001,58.766980306253,58.685816461253
SGP,2002,51.403914027973,51.366046320973005
SGP,2003,49.808835218274,49.746778279274
SGP,2004,52.470541188317,52.398769048317
SGP,2005,50.329124234885,50.202085175885
SGP,2006,50.598575686478,50.510741126478
SGP,2007,51.167425277789,51.084949171789
SGP,2008,50.447863863967,50.399267879967
SGP,2009,51.44737131889,51.40104302189
SGP,2010,58.050944760808,57.982857748808
SGP,2011,60.447078693752,60.405306428752
SGP,2012,58.587656093556,58.519990579556
SGP,2013,62.01333891044,62.00912547944
SGP,2014,63.911353052952,63.923966197952005
SGP,2015,65.746659977216,65.826990986216
SGP,2016,63.878314622136,63.839394575136005
SGP,2017,69.102597837617,69.102486316617
SGP,2018,67.086357833839,67.090828784839
SGP,2019,69.587525406222,69.597757669222
SGP,2020,68.067532162577,68.084627864577
SGP,2021,70.645246476232,70.66955322123201
SGP,2022,71.907968849652,71.938822032652
SGP,2023,72.392943700916,72.42379688391601
