iso_alpha_3,year,cap_liberal_democracy_idx,cap_corruption_idx,cap_control_corruption,cap_govt_effectiveness,cap_political_stability,cap_regulatory_quality,cap_voice_accountability,con_ndgain_score,con_ndgain_vulnerability,con_renewables_share_elec_pct,inc_has_carbon_tax,inc_has_framework_law,inc_has_renewable_target,x_log_signed_con_coal,x_log_signed_con_hydro,x_log_signed_con_edgar_ghg_mt,x_log_signed_con_demand,x_log_signed_con_primary_energy_twh,x_log_signed_con_other_fossil,x_log_signed_con_demand_per_capita,x_log_signed_con_energy_per_capita_kwh,x_log_signed_cap_gdp_per_capita_ppp_current,x_log_signed_inc_carbon_pricing_coverage,x_log_signed_con_electricity_access_pct,em_lag_1y
CAN,2021,0.756,0.029,1.61626875400543,1.5614572763443,0.962336957454681,1.61376404762268,1.44535887241364,68.3039155368302,0.282427890585361,66.737,0.0,1.0,1.0,1.8421356765531218,4.420405647542997,6.630259052371508,6.407061487748703,8.259194185329555,1.1878434223960523,2.8178010650613294,11.517236240213196,10.950738433587123,0.0,4.61512051684126,6.624736580791768
CAN,2022,0.749,0.029,1.65857303142548,1.56661772727966,0.780681550502777,1.67709279060364,1.44002974033356,68.4999358682349,0.281436971349,68.135,0.0,1.0,1.0,1.7715567619105355,4.432482078162375,6.6998317985721485,6.4199460670186035,8.285392525184552,1.1878434223960523,2.8207834710894493,11.533937380390539,11.060043542286767,0.0,4.61512051684126,6.630259052371508
CHL,2003,0.815,0.061,1.16710090637207,1.10024511814117,0.761611938476562,1.3334413766861,1.05612015724182,54.3980297436916,0.359878912476054,49.925,0.0,0.0,0.0,1.091923300517313,1.6992786164338898,1.9356824484661135,3.9035875266070446,5.779168201562091,0.2468600779315258,1.3937663759585917,9.90974160511616,9.278916697111846,0.0,4.603168183317418,2.7892751051696454
CHL,2004,0.815,0.061,1.30585932731628,1.11775302886963,0.691341698169708,1.36798417568207,1.22528505325317,55.2005991340508,0.358910980447264,46.667,0.0,1.0,1.0,1.091923300517313,1.827769906751088,2.916906844259704,3.9871304779149517,5.844410708359318,0.2468600779315258,1.4516138272405332,9.965084313436911,9.359914855716426,0.0,4.590056548178043,1.9356824484661135
CHL,2005,0.822,0.061,1.41652750968933,1.1556099653244,0.842383623123169,1.31246471405029,1.29252052307129,56.1965544608868,0.356231621276745,53.658,0.0,1.0,0.0,1.091923300517313,1.827769906751088,3.027543665391363,4.014037930834876,5.8814459773188545,0.32208349916911333,1.4655675420143985,9.992298933546078,9.437590264779269,0.0,4.592084946439436,2.916906844259704
CHL,2006,0.839,0.061,1.41256189346313,0.937738180160522,0.613005876541138,1.42389464378357,1.08234477043152,57.124589129198,0.354299771524346,55.015,0.0,0.0,1.0,1.091923300517313,1.8293763327993617,2.9953980898026207,4.066116540765546,5.915344552193306,0.32208349916911333,1.4973884086254774,10.016526463719808,9.64935437434907,0.0,4.609162207257629,3.027543665391363
CHL,2007,0.842,0.061,1.34514999389648,1.18673837184906,0.406370878219604,1.4855865240097,1.10488200187683,57.5400314413149,0.355784379993772,43.943,0.0,1.0,0.0,1.091923300517313,1.8500283773520307,3.709013686212455,4.109397364848393,5.914310787402823,0.5306282510621704,1.5238800240724537,10.005700941180724,9.723075133482919,0.0,4.59511985013459,2.9953980898026207
CHL,2008,0.841,0.061,1.31798684597015,1.06214225292206,0.431912958621979,1.50248491764069,1.01350831985474,57.6957454133589,0.354202419680551,45.526,0.0,1.0,1.0,1.091923300517313,1.860974538249528,3.878144259331795,4.120824195026479,5.914329690866883,0.6259384308664953,1.5260563034950494,9.995728663927952,9.70363104436471,0.0,4.597138014290827,3.709013686212455
CHL,2009,0.835,0.061,1.32123482227325,1.13757157325745,0.602584421634674,1.42739927768707,1.01689624786377,57.5170233155633,0.352998469617533,48.683,0.0,0.0,0.0,1.1410330045520618,1.864080130807681,3.7241394633054457,4.138680376042152,5.8731651281486865,1.000631880307906,1.5325568680981427,9.94436612145602,9.677360209626668,0.0,4.611152257665639,3.878144259331795
CHL,2010,0.838,0.068,1.44162690639496,1.15724182128906,0.679604530334473,1.41517114639282,1.09564626216888,58.4086611263326,0.352105813465069,40.199,0.0,1.0,1.0,1.2669476034873244,1.8671761085128091,3.6119200620223184,4.130515758526928,5.899754877679857,1.000631880307906,1.5173226235262947,9.96098144343069,9.79361102847351,0.0,4.61015772749913,3.7241394633054457
CHL,2011,0.84,0.068,1.47659265995026,1.15227234363556,0.452553361654282,1.44053530693054,1.07390916347504,59.011041762593,0.35031888842493,39.528,0.0,1.0,0.0,1.4562867329399256,1.9387416595767009,3.8749734990153444,4.2103482379784065,5.957680229939378,1.000631880307906,1.5748464676644813,10.009193868398171,9.909602986166544,0.0,4.611152257665639,3.6119200620223184
CHL,2012,0.846,0.068,1.54359126091003,1.17844355106354,0.331102102994919,1.53619813919067,1.07694518566132,60.2207620457575,0.345661218232718,36.28,0.0,1.0,1.0,1.6428726885203377,1.9444805562457188,4.064578385468583,4.256605125012738,6.000788444168704,1.000631880307906,1.6034198401085373,10.042813617321755,9.969611244430672,0.0,4.61512051684126,3.8749734990153444
