iso_alpha_3,year,income_group,region,pop_growth_hp_trend,renewable_energy_consumption_pct_hp_trend,forest_area_pct_hp_trend,gdp_growth_pct_hp_trend,gdp_per_capita_growth_pct_hp_trend,manufacturing_pct_of_gdp_hp_trend,log_pop_total_hp_trend,log_gdp_2021_ppp_intl_usd_hp_trend,log_gdp_per_capita_2021_ppp_intl_usd_hp_trend,log_imports_pct_of_gdp_hp_trend,log_industry_pct_of_gdp_hp_trend,log_exports_pct_of_gdp_hp_trend,log_total_emissions_hp_trend,log_gdp_2021_ppp_intl_usd_lag1_hp_trend,log_pop_total_lag1_hp_trend
KHM,2010,Lower middle income,East Asia & Pacific,1.5038166971911986,68.26147088759816,57.736046460299534,7.946466188572069,6.336204837467783,20.708357137207337,16.48947692191832,24.730214434171018,8.241003774395223,4.189147917325454,3.3528407785086296,4.0180787856192985,4.636265563691894,24.653919791994326,16.474438755992146
KHM,2011,Lower middle income,East Asia & Pacific,1.4967177635701088,66.53191208463235,56.70614620935944,7.771208881805421,6.171014451683319,20.92179309079651,16.504434475135096,24.803009209243505,8.298825363390575,4.1842844869663125,3.369906159251058,4.013620477334263,4.626341332361633,24.728320693378087,16.48946729852514
KHM,2012,Lower middle income,East Asia & Pacific,1.486836330606177,64.89197007549417,55.54728165880094,7.6215917208681825,6.034017939764177,21.191408860980538,16.519291480287333,24.874293781683125,8.355238634167165,4.182107145406765,3.3917072916426596,4.013455219848843,4.61194841615398,24.800991770666602,16.504423117985592
KHM,2013,Lower middle income,East Asia & Pacific,1.474464629381167,63.32445460850473,54.29668455670983,7.46785443307079,5.895593357245066,21.516473046252862,16.534023963017326,24.944169164244716,8.410368423267744,4.1819251490131055,3.418091056800953,4.017341594021241,4.593671618396738,24.87231754902911,16.519279317705212
KHM,2014,Lower middle income,East Asia & Pacific,1.4600263695383808,61.807255731230214,52.99651866123242,7.280523394302036,5.726254278528749,21.893552701406914,16.548613965245657,25.01252305489069,8.464120277546186,4.182886391569286,3.448525185923017,4.024846108444489,4.572784964835209,24.94246508473987,16.53401370250845
KHM,2015,Lower middle income,East Asia & Pacific,1.4441516357253616,60.33501894515175,51.68664392596313,7.034021433674257,5.500127494276779,22.320085509016668,16.563051730546952,25.0790874901973,8.516235911750014,4.184699199514533,3.48229450363589,4.035900651258139,4.551419658221,25.011407881607248,16.54861021512387
KHM,2016,Lower middle income,East Asia & Pacific,1.4276946214142234,58.92131719443816,50.397876373265866,6.7099693538186225,5.1981881775556795,22.792573349763,16.577338047843096,25.143524946558205,8.566376950065349,4.187558758261316,3.5185116419502647,4.050729003745254,4.53135842936532,25.0789808228485,16.563061102539166
KHM,2017,Lower middle income,East Asia & Pacific,1.411670380018345,57.58237323380673,49.145345055993346,6.291718090282512,4.8029395432501385,23.308888251297358,16.591485897503784,25.20545861266073,8.614153549091002,4.191879329759802,3.5562675764608267,4.069623158129762,4.514393608424089,25.144960383231126,16.57736919459051
KHM,2018,Lower middle income,East Asia & Pacific,1.3974030954936463,56.32519664603034,47.9325597692706,5.774573896688183,4.308332987230985,23.866316863950097,16.605523448931866,25.264588871610858,8.659237863351922,4.198287136115449,3.5947482901326433,4.092873804735128,4.501001304017812,25.209084816489774,16.591549418841957
KHM,2019,Lower middle income,East Asia & Pacific,1.385917907604851,55.14397328154383,46.755116399924205,5.1716762373086675,3.7262101594955865,24.460608187333907,16.619490758654166,25.32085052034085,8.701524541758767,4.207364220069552,3.6332153761411896,4.120558417907582,4.490807829078335,25.271155216411028,16.605631580423246
KHM,2020,Lower middle income,East Asia & Pacific,1.376702752902539,54.05063702432171,45.604004815606096,4.526181075072563,3.0996470831932736,25.084511980297158,16.633423763076927,25.374662692949304,8.741396619311303,4.219293310266881,3.671324913130547,4.152163076630936,4.482856940596911,25.331170828569476,16.61965673637471
KHM,2021,Lower middle income,East Asia & Pacific,1.368012218962219,53.03568202552305,44.46856333474347,3.9088971118942353,2.5002849163636944,25.7323283917919,16.647340863681887,25.427130014970047,8.77994006071053,4.233339629305679,3.709301012696021,4.186301273768409,4.47617017835584,25.38954957225801,16.63366074230119
KHM,2022,Lower middle income,East Asia & Pacific,1.3590401646856443,52.063096066063764,43.339169878638536,3.3098140195966677,1.9191315262746311,26.387493170249176,16.661250659961755,25.4791424339082,8.818036009833524,4.24803591416725,3.747150103851375,4.221160781824304,4.469937485876592,25.44729165512249,16.647660259105812
KIR,2001,Lower middle income,East Asia & Pacific,2.0866581840203122,53.35231385978022,1.45679012345678,-1.4077842379122845,-3.4504527861258705,4.341557961159708,11.413908799131407,19.1495014398905,7.736040456636102,4.5934627997591475,2.4376745370072594,2.8358041338068034,0.06332013366629585,19.163677421643925,11.39304244768314
KIR,2002,Lower middle income,East Asia & Pacific,2.0732553969228946,52.60572667991596,1.4567901234567817,-0.8370746946827373,-2.8764422876221323,4.437328457494625,11.434183117199888,19.16084360116079,7.7271119810098075,4.5725768401564055,2.4351627468010317,2.8067189905198413,0.06712084361657977,19.169379940396272,11.413450788299615
KIR,2003,Lower middle income,East Asia & Pacific,2.058232436501161,51.88961636145387,1.4567901234567833,-0.2837286008500365,-2.3178315861383445,4.535872254000216,11.454431260587588,19.17245746819036,7.718481259051194,4.551421091379125,2.434138479991081,2.777357468367283,0.0708190908828402,19.175531866891784,11.433849155815798
KIR,2004,Lower middle income,East Asia & Pacific,2.0403656261593124,51.23840249899695,1.4567901234567842,0.257732890554247,-1.7679944649841568,4.640981993195944,11.474609424944838,19.184916709243858,7.710765499467899,4.530779933740075,2.4370855484329548,2.7493689658706053,0.07432025034433684,19.182655529627848,11.454205982558934
KIR,2005,Lower middle income,East Asia & Pacific,2.0183496855910072,50.67260852353367,1.4567901234567846,0.779871243585328,-1.232853376193904,4.751244348414141,11.494658699826422,19.19882201549371,7.704624023245385,4.51076434020157,2.4462927153005687,2.725155733550406,0.07751559633063286,19.191428336949908,11.474475410801215
KIR,2006,Lower middle income,East Asia & Pacific,1.9905541410345955,50.20537384106254,1.4567901234567846,1.2665809174213567,-0.7264976839415698,4.862402600198346,11.51450406956532,19.21461542567317,7.700573671128603,4.491199756202164,2.4626567913855286,2.705384360040985,0.08026581821840093,19.202452739496813,11.494598729499574
KIR,2007,Lower middle income,East Asia & Pacific,1.955256363255512,49.82811177234672,1.4567901234567844,1.706881961751215,-0.2579118464392435,4.9692509509687195,11.534054831867607,19.232569687981762,7.698977753002374,4.473849782232815,2.4850401958465334,2.6906448643633034,0.08252607380181885,19.216107419191182,11.514502462530572
KIR,2008,Lower middle income,East Asia & Pacific,1.9108437953811892,49.51118189973875,1.456790123456784,2.13489796207319,0.20799257494869036,5.063464975572073,11.55320629823143,19.25319194897349,7.700447855772937,4.459974289791875,2.511442122714534,2.678634118933142,0.08436523603003027,19.232565460181867,11.534098046847141
KIR,2009,Lower middle income,East Asia & Pacific,1.8564504031942073,49.21066268786772,1.4567901234567835,2.5982344824247234,0.7187255872500853,5.140599081329314,11.571847275177772,19.277345145080467,7.705957702806332,4.450126292034639,2.5401349766002097,2.6681458482782228,0.08587175993502956,19.252219425037023,11.553282949264625
KIR,2010,Lower middle income,East Asia & Pacific,1.7929856961674715,48.884520782365314,1.456790123456783,3.0933007950593394,1.2698194050945024,5.197757208630558,11.589877387378401,19.30573876190699,7.716316824578421,4.44436637249292,2.569138320603352,2.658342510493078,0.08720857047893128,19.275817708480904,11.571947699471417
KIR,2011,Lower middle income,East Asia & Pacific,1.724106518248659,48.50261620198454,1.4567901234567824,3.5958918393527983,1.8337874614243026,5.229821128246072,11.607233784248294,19.338740838823497,7.731955952389862,4.44262130743445,2.5955617469322156,2.6488762387346583,0.08852156128786617,19.303964979649326,11.58999287879637
KIR,2012,Lower middle income,East Asia & Pacific,1.6563333704236622,48.04696375765473,1.4567901234567815,4.063129066622756,2.361873409029135,5.2378485626102025,11.623918772030756,19.37621588260347,7.752737382233987,4.443566539564955,2.61645570579292,2.6381259144101694,0.08994928762201351,19.336939735810226,11.607355589068604
KIR,2013,Lower middle income,East Asia & Pacific,1.5966620501302766,47.51955209828541,1.4567901234567806,4.448812281746565,2.80148682655259,5.230437705555335,11.64000341182966,19.417516006533518,7.777942512367001,4.445428284153888,2.629458443011076,2.624491355740274,0.09157751548303333,19.374534679457177,11.624036934031395
KIR,2014,Lower middle income,East Asia & Pacific,1.5502114435712746,46.92890023520954,1.45679012345678,4.7241465963998746,3.119029931492084,5.216693311128062,11.655607532638697,19.461670329213394,7.806481124053047,4.446348360858551,2.6327803341085505,2.6062130376041845,0.09341975855387864,19.416048130627,11.640105554240375
KIR,2015,Lower middle income,East Asia & Pacific,1.5198788254764015,46.27033165877723,1.45679012345678,4.893158218310833,3.315492967821115,5.203523551296007,11.670876333817924,19.50771663799651,7.837246282193293,4.444652254399292,2.6256659006436425,2.580106447140922,0.09544236628565568,19.460472226701135,11.655677676520986
KIR,2016,Lower middle income,East Asia & Pacific,1.5060458715826874,45.54988085698648,1.456790123456781,4.92526851604805,3.360246907739023,5.197255393069585,11.685954207906706,19.554385420272155,7.868824660364754,4.439544638130847,2.608188796073462,2.5425995871489833,0.09755720090304508,19.506822452573733,11.670893876640928
KIR,2017,Lower middle income,East Asia & Pacific,1.5067240556252688,44.785879001247515,1.4567901234567828,4.853620485428316,3.2879784014018574,5.1977789377186445,11.700960337369182,19.60070687479317,7.900127701506936,4.4315237234799065,2.5817196508026146,2.491371491824335,0.09963251798070785,19.553818974199952,11.685893222108383
KIR,2018,Lower middle income,East Asia & Pacific,1.5190001951484422,44.02215845440066,1.4567901234567844,4.732984783685808,3.155620713139964,5.202111009108796,11.715979272677053,19.646229034491107,7.930619084620091,4.422299494882674,2.549052328681603,2.427364002191858,0.10153102652190969,19.600490610752725,11.700789394928076
