future_id,iso_alpha_3,2022,2030,vulnerability_threshold,vulnerability_indicator,ndc_unconditional
id_JPN_246,JPN,1156.9285210437156,993.250629406236,1087.8404723653855,0,760.3
id_JPN_247,JPN,1156.9285210437156,929.7853692002052,1087.8404723653855,0,760.3
id_JPN_248,JPN,1156.9285210437156,1083.829710671267,1087.8404723653855,0,760.3
id_JPN_249,JPN,1156.9285210437156,1218.5188490286837,1087.8404723653855,1,760.3
id_JPN_25,JPN,1156.9285210437156,1058.6250867117828,1087.8404723653855,0,760.3
id_JPN_250,JPN,1156.9285210437156,1112.3459367823184,1087.8404723653855,1,760.3
id_JPN_251,JPN,1156.9285210437156,1093.0621923115723,1087.8404723653855,1,760.3
id_JPN_252,JPN,1156.9285210437156,982.3514135039408,1087.8404723653855,0,760.3
id_JPN_253,JPN,1156.9285210437156,1224.3944473919637,1087.8404723653855,1,760.3
id_JPN_254,JPN,1156.9285210437156,1163.2452483596635,1087.8404723653855,1,760.3
id_JPN_255,JPN,1156.9285210437156,1072.804867993194,1087.8404723653855,0,760.3
id_JPN_256,JPN,1156.9285210437156,1158.1941597246005,1087.8404723653855,1,760.3
id_JPN_257,JPN,1156.9285210437156,1135.057738086007,1087.8404723653855,1,760.3
id_JPN_258,JPN,1156.9285210437156,1268.190768885582,1087.8404723653855,1,760.3
id_JPN_259,JPN,1156.9285210437156,941.4827122874422,1087.8404723653855,0,760.3
id_JPN_26,JPN,1156.9285210437156,1098.6961888485205,1087.8404723653855,1,760.3
id_JPN_260,JPN,1156.9285210437156,1071.7516325622505,1087.8404723653855,0,760.3
id_JPN_261,JPN,1156.9285210437156,1221.022658677981,1087.8404723653855,1,760.3
id_JPN_262,JPN,1156.9285210437156,912.5469334538732,1087.8404723653855,0,760.3
id_JPN_263,JPN,1156.9285210437156,975.0805501539772,1087.8404723653855,0,760.3
id_JPN_264,JPN,1156.9285210437156,1065.068908326783,1087.8404723653855,0,760.3
id_JPN_265,JPN,1156.9285210437156,935.0298726383634,1087.8404723653855,0,760.3
id_JPN_266,JPN,1156.9285210437156,980.3909885770112,1087.8404723653855,0,760.3
