year,pop_total,electricity_from_renewables_pct,renewable_energy_consumption_pct,forest_area_pct,gdp_2015_usd,imports_2015_usd,industry_value_added_2015_usd,manufacturing_value_added_2015_usd,exports_2015_usd,iso_alpha_3
2018,1889051.0,3.11307294453362,20.9,39.7101506740682,10764555646.4726,8466614192.37216,2395044081.24942,1257906666.99664,6539668461.18688,MKD
2017,1898657.0,3.3225,19.0,39.7101506740682,10463154366.0785,7645958211.73649,2372590606.27928,1184627448.71974,5797314625.44885,MKD
2016,1906313.0,3.01208029845443,21.4,39.7172878667724,10351178142.8536,7265377621.01736,2337617395.55034,1165493915.19228,5350702470.4553,MKD
2015,1912430.0,2.89691817215728,23.9,39.4290245836638,10064519962.5655,6537956851.3466,2407652905.73909,1183623732.43459,4905245729.99208,MKD
2014,1917557.0,1.57536285820618,21.2,39.1596352101507,9690853712.45803,5946558203.52228,2275284694.78196,1127637645.37333,4521981398.57498,MKD
2013,1922716.0,0.148014440433213,21.2,38.8902458366376,9351477059.69398,5209571518.52039,2079107448.78967,927895802.526969,3882215041.42427,MKD
2012,1929821.0,0.0416799744490578,18.3,38.6208564631245,9085697011.49163,5099022433.65299,1958079607.65693,846357411.178923,3659220037.07028,MKD
2011,1937398.0,0.0190856635596982,18.6,38.3514670896114,9127334379.6944,4710888665.4439,2077425008.92864,856386388.780388,3589161921.41383,MKD
2010,1946298.0,0.00647382920110193,22.3,38.0820777160983,8918648175.61246,4362620091.89531,1766083709.08027,763724754.217251,3090445015.00436,MKD
2009,1958782.0,0.00512595196250732,18.4,38.0706582077716,8628827362.55974,3952843981.30811,1637240296.68761,765182240.301038,2498739458.41341,MKD
2008,1971493.0,0.00142608144509586,15.6,38.0441537851764,8659882989.55735,4505113274.1128,1564183926.49832,734905000.433404,2901823592.92774,MKD
2007,1982933.0,0.000461680517082179,15.7,38.0327388030123,8210598903.42197,4285356929.60544,1485673816.56707,750011390.945221,3043917360.64832,MKD
2006,1994287.0,-0.00585212674850129,19.8,37.7222965001966,7711402289.66945,3727006138.5925,1655515725.59536,861108254.892483,2675006832.81957,MKD
2005,2005330.0,-0.00316911552866609,19.0,37.7109712937475,7334620965.18469,3406742756.08118,1547972017.33501,764789092.510448,2385553273.46131,MKD
2004,2016186.0,-0.000149992500374981,18.2,37.6996460872985,7003757263.7722,3106455255.58486,1445970319.4796,691796613.77373,2022886427.99839,MKD
2003,2022725.0,0.0,17.3,37.6883208808494,6691013307.97393,2559639833.05945,1406489186.23092,645628478.336543,1726167088.80517,MKD
2002,2020157.0,0.0,14.6,37.6769956744003,6545532200.7983,2720550648.64072,1279428033.84719,591663124.876875,1720412235.66371,MKD
2001,2034882.0,0.0,15.2,37.6656704679512,6449202687.04079,2506897444.68399,1252185014.77254,574701496.287538,1808312618.0097,MKD
2000,2026350.0,0.0,19.4,37.6543452615022,6653275727.54115,2775760264.04729,1268929476.65704,609401840.641107,2107431664.30438,MKD
2022,46078.0,,0.5,52.9565217391304,896763636.363636,647681883.024251,,,207483443.708609,MNP
2021,46979.0,,0.5,52.9565217391304,768812121.212121,611447931.526391,,,48944812.3620309,MNP
2020,47528.0,,0.3,52.9565217391304,732412121.212121,558002853.067047,,,117041942.604857,MNP
2019,48129.0,,0.0,52.9565217391304,1032436363.63636,707467902.99572,,,460719646.799117,MNP
2018,49077.0,,0.0,52.9565217391304,1165903030.30303,720149786.019971,,,610746136.865342,MNP
2017,49959.0,,0.0,52.9565217391304,1448278787.87879,966540656.205421,,,1029969094.92274,MNP
2016,50773.0,,0.0,52.9565217391304,1175830303.0303,1018174037.08987,,,855470198.675497,MNP
2015,51514.0,,0.0,64.1086956521739,910000000.0,635000000.0,,,482000000.0,MNP
2014,52178.0,,0.0,64.4695652173913,880218181.818182,503651925.820257,,,437311258.278146,MNP
2013,52758.0,,0.0,64.8304347826087,844921212.121212,473758915.834522,,,420286975.717439,MNP
2012,53234.0,,0.0,65.1913043478261,822860606.060606,432995720.39943,,,403262693.156733,MNP
2011,53608.0,,0.0,65.5521739130435,816242424.242424,413067047.075606,,,344741721.854305,MNP
2010,54091.0,,0.0,65.9130434782609,881321212.121212,423031383.737518,,,388366445.916115,MNP
2009,55325.0,,0.0,66.2695652173913,869187878.787879,404914407.988588,,,378790286.975717,MNP
2008,57150.0,,0.0,66.6260869565217,1054496969.69697,481911554.921541,,,577761589.403973,MNP
