Code,Income group,Year,emissions_change,avg_change_prev_3_years,avg_change_prev_5_years,prev_year_change
CRI,Upper middle income,2010,0.15247264099999924,-0.6145736773333326,-0.2848963673999997,-0.1756066369999978
CRI,Upper middle income,2011,0.6950985959999976,-1.2818042296666665,-0.250924174,0.15247264099999924
CRI,Upper middle income,2012,2.678579592000002,0.22398819999999967,-0.19922995900000018,0.6950985959999976
CRI,Upper middle income,2013,0.34670384029999823,1.1753836096666663,-0.09434690020000006,2.678579592000002
CRI,Upper middle income,2014,-5.993325524299998,1.240127342766666,0.7394496064599998,0.34670384029999823
CRI,Upper middle income,2015,1.074885006999999,-0.9893473639999991,-0.42409417100000013,-5.993325524299998
CRI,Upper middle income,2016,-0.3186100048,-1.5239122256666668,-0.2396116978000002,1.074885006999999
CRI,Upper middle income,2017,-1.6137070731000005,-1.7456835073666663,-0.4423534179599997,-0.3186100048
CRI,Upper middle income,2018,0.5321832219999987,-0.28581069030000056,-1.3008107509800002,-1.6137070731000005
CRI,Upper middle income,2019,-0.03726185709999719,-0.4667112853000006,-1.2637148746400002,0.5321832219999987
CRI,Upper middle income,2020,-1.4923735966000002,-0.3729285693999997,-0.07250214120000002,-0.03726185709999719
CRI,Upper middle income,2021,1.1492560109000003,-0.3324840772333329,-0.5859538619199999,-1.4923735966000002
CRI,Upper middle income,2022,0.6533580969999999,-0.12679314759999905,-0.2923806587799998,1.1492560109000003
CUB,Upper middle income,2001,-1.6291427960000107,,,
CUB,Upper middle income,2002,-1.309394771000001,-1.6291427960000107,-1.6291427960000107,-1.6291427960000107
CUB,Upper middle income,2003,-0.8490455299999979,-1.4692687835000058,-1.4692687835000058,-1.309394771000001
CUB,Upper middle income,2004,-0.9772159609999989,-1.2625276990000032,-1.2625276990000032,-0.8490455299999979
CUB,Upper middle income,2005,0.14369784100000516,-1.0452187539999993,-1.191199764500002,-0.9772159609999989
CUB,Upper middle income,2006,1.5015737909999984,-0.5608545499999972,-0.9242202434000006,0.14369784100000516
CUB,Upper middle income,2007,1.1070298460000032,0.22268522366666824,-0.2980769259999988,1.5015737909999984
CUB,Upper middle income,2008,-0.46425741200000914,0.9174338260000022,0.185207997400002,1.1070298460000032
CUB,Upper middle income,2009,0.7063514280000049,0.7147820749999975,0.26216562099999974,-0.46425741200000914
CUB,Upper middle income,2010,-41.300149268,0.4497079539999997,0.5988790988000006,0.7063514280000049
CUB,Upper middle income,2011,-0.06291758800000125,-13.686018417333335,-7.689890323,-41.300149268
CUB,Upper middle income,2012,1.0463702439999985,-13.552238476,-8.0027885988,-0.06291758800000125
CUB,Upper middle income,2013,0.38924366200000193,-13.438898870666668,-8.0149205192,1.0463702439999985
CUB,Upper middle income,2014,-4.4921414399999975,0.45756543933333305,-7.844220304399999,0.38924366200000193
CUB,Upper middle income,2015,1.9297942259999985,-1.0188425113333324,-8.883918878,-4.4921414399999975
CUB,Upper middle income,2016,-1.9088712010000002,-0.7243678506666656,-0.23793017919999998,1.9297942259999985
CUB,Upper middle income,2017,-1.8266605690000013,-1.4904061383333331,-0.6071209017999998,-1.9088712010000002
CUB,Upper middle income,2018,0.3427412889999992,-0.6019125146666676,-1.1817270643999997,-1.8266605690000013
CUB,Upper middle income,2019,-2.487300092999998,-1.1309301603333342,-1.1910275390000002,0.3427412889999992
CUB,Upper middle income,2020,-0.990156307000003,-1.3237397910000002,-0.7900592696000004,-2.487300092999998
CUB,Upper middle income,2021,-0.5112742959999963,-1.0449050370000006,-1.3740493762000008,-0.990156307000003
CUB,Upper middle income,2022,0.47299469399999694,-1.3295768986666658,-1.0945299951999998,-0.5112742959999963
CYM,High income,2001,0.002388300204999999,,,
CYM,High income,2002,0.009924722588099982,0.002388300204999999,0.002388300204999999,0.002388300204999999
CYM,High income,2003,0.008877816233300001,0.006156511396549991,0.006156511396549991,0.009924722588099982
CYM,High income,2004,-0.0083227153514,0.007063613008799994,0.007063613008799994,0.008877816233300001
CYM,High income,2005,0.006827673208700008,0.0034932744899999943,0.0032170309187499954,-0.0083227153514
CYM,High income,2006,0.013853646322800006,0.0024609246968666696,0.003939159376739998,0.006827673208700008
CYM,High income,2007,0.042876466940300006,0.004119534726700004,0.006232228600299999,0.013853646322800006
CYM,High income,2008,0.02602822512529998,0.02118592882393334,0.012822577470740004,0.042876466940300006
CYM,High income,2009,-0.003600552655299988,0.027586112796133332,0.01625265924914,0.02602822512529998
CYM,High income,2010,0.020930155877200013,0.0217680464701,0.017197091788360003,-0.003600552655299988
CYM,High income,2011,-0.042735361719800025,0.01445260944906667,0.020017588322060003,0.020930155877200013
CYM,High income,2012,-0.001570397964799991,-0.008468586165966666,0.008699786713539997,-0.042735361719800025
CYM,High income,2013,0.03660907710699998,-0.007791867935800001,-0.00018958626748000196,-0.001570397964799991
CYM,High income,2014,0.006618041871000013,-0.002565560859200011,0.0019265841288599983,0.03660907710699998
CYM,High income,2015,0.008562061369000007,0.013885573671066668,0.003970303034119998,0.006618041871000013
CYM,High income,2016,0.009943405475,0.017263060115666667,0.0014966841324799973,0.008562061369000007
CYM,High income,2017,0.011500616705000022,0.008374502905000006,0.012032437571440003,0.009943405475
CYM,High income,2018,0.010873770005999983,0.010002027849666676,0.014646640505400006,0.011500616705000022
CYM,High income,2019,0.09654858434300001,0.010772597395333336,0.009499579085200004,0.010873770005999983
CYM,High income,2020,-0.05537333102200004,0.03964099035133334,0.027485687579600005,0.09654858434300001
CYM,High income,2021,-0.010402238517999984,0.017349674442333318,0.014698609101399996,-0.05537333102200004
CYM,High income,2022,0.012186252971999989,0.010257671600999996,0.010629480302799999,-0.010402238517999984
CYP,High income,2001,-0.2120082042,,,
CYP,High income,2002,0.14361939900000031,-0.2120082042,-0.2120082042,-0.2120082042
CYP,High income,2003,0.6742469139999994,-0.03419440259999984,-0.03419440259999984,0.14361939900000031
CYP,High income,2004,-0.044965456999999986,0.20195270293333323,0.20195270293333323,0.6742469139999994
CYP,High income,2005,0.09624805820000049,0.25763361866666656,0.14022316294999992,-0.044965456999999986
CYP,High income,2006,0.1259493710000008,0.24184317173333328,0.13142814200000003,0.09624805820000049
CYP,High income,2007,0.43947825479999914,0.0590773240666671,0.1990196570400002,0.1259493710000008
CYP,High income,2008,0.030694962000000103,0.22055856133333349,0.25819142819999996,0.43947825479999914
CYP,High income,2009,-0.20846093829999823,0.19870752926666668,0.12948103780000011,0.030694962000000103
CYP,High income,2010,0.11063614999999771,0.087237426166667,0.09678194154000046,-0.20846093829999823
CYP,High income,2011,-0.276546076999999,-0.022376608766666806,0.0996595598999999,0.11063614999999771
CYP,High income,2012,-0.5970945010000008,-0.12479028843333317,0.019160470299999944,-0.276546076999999
CYP,High income,2013,-0.7473540639999996,-0.254334809333334,-0.18815408086000004,-0.5970945010000008
CYP,High income,2014,0.3972903404999997,-0.5403315473333331,-0.34376388605999997,-0.7473540639999996
CYP,High income,2015,0.07130249050000081,-0.31571940816666694,-0.22261363030000042,0.3972903404999997
CYP,High income,2016,0.7840216686999995,-0.0929204109999997,-0.2304803621999998,0.07130249050000081
CYP,High income,2017,-0.18063230439999955,0.41753816656666665,-0.018366813060000098,0.7840216686999995
CYP,High income,2018,0.26048596130000057,0.22489728493333358,0.06492562626000016,-0.18063230439999955
CYP,High income,2019,0.5415845144999984,0.2879584418666668,0.2664936313200002,0.26048596130000057
CYP,High income,2020,-0.4519463030999997,0.20714605713333314,0.29535246611999993,0.5415845144999984
CYP,High income,2021,0.8421793189000013,0.11670805756666643,0.19070270739999984,-0.4519463030999997
CYP,High income,2022,0.2521539199999996,0.31060584343333336,0.2023342374400002,0.8421793189000013
CZE,High income,2001,0.6621901470000182,,,
CZE,High income,2002,-5.2410170220000225,0.6621901470000182,0.6621901470000182,0.6621901470000182
