iso_alpha_3,year,policy_flow_jur_stock_x_gov
GAB,2019,-32.02492800426319
GAB,2020,-36.41563875320498
GAB,2021,-43.4563865309082
GAB,2022,-54.5906228154637
GAB,2023,-65.92028570510004
GAB,2024,-63.232438321270905
GBR,1996,45.002302074650466
GBR,1998,66.52598569179703
GBR,2000,110.37139330590023
GBR,2002,204.4083945584942
GBR,2003,252.9932415310247
GBR,2004,311.8806954542532
GBR,2005,380.37361493729264
GBR,2006,457.869321331433
GBR,2007,526.6461619296683
GBR,2008,608.0516847812249
GBR,2009,706.838939373089
GBR,2010,791.1085988972993
GBR,2011,933.0357007969858
GBR,2012,1038.8380987883086
GBR,2013,1154.7505074500618
GBR,2014,1264.341448602882
GBR,2015,1487.0184133381517
GBR,2016,1649.5120833768026
GBR,2017,1777.785705990624
GBR,2018,1894.6687717510322
GBR,2019,1980.5000191384333
GBR,2020,2222.123791492746
GBR,2021,2482.153921659131
GBR,2022,2876.4185616002387
GBR,2023,3077.764431058093
GBR,2024,3544.424585938635
GEO,1996,-0.7338063081272443
GEO,1998,-1.8154652271037643
GEO,2000,-2.9433732944118436
GEO,2002,-4.686724557803718
GEO,2003,-3.4038252716459985
GEO,2004,0.20563432702333553
GEO,2005,1.1547535676015879
GEO,2006,2.0153012887816355
GEO,2007,1.24852385801592
GEO,2008,-2.0227488379115264
GEO,2009,-0.21364112775500793
GEO,2010,0.9353007267003133
GEO,2011,1.2669685416395542
GEO,2012,1.6488312514454735
GEO,2013,6.713039948855518
GEO,2014,16.409142357698368
GEO,2015,19.39934776333521
GEO,2016,22.62619582510344
GEO,2017,17.99641051796035
GEO,2018,20.974650478774063
GEO,2019,20.552494300890203
GEO,2020,17.46579980325818
GEO,2021,12.686649442914637
GEO,2022,7.177617627046828
GEO,2023,-5.569540644612516
GEO,2024,-32.8858133817861
GHA,1996,-3.5831952159321805
GHA,1998,-5.424899967070539
GHA,2000,-2.6041182661727413
GHA,2002,-2.306665692685773
GHA,2003,1.8676514754852953
GHA,2004,12.427972998584986
GHA,2005,21.074225504830785
GHA,2006,39.694529829073616
GHA,2007,50.478371162826235
GHA,2008,49.39200120462045
GHA,2009,60.0943171788853
GHA,2010,66.99229105255976
GHA,2011,71.61238562954087
GHA,2012,81.53156171109431
GHA,2013,80.91458388687076
GHA,2014,84.85604370530993
GHA,2015,82.15783182191865
GHA,2016,87.22543179874951
GHA,2017,113.24618399836405
GHA,2018,105.64735916167606
GHA,2019,99.98387723091429
GHA,2020,97.47576032734969
GHA,2021,82.55149836886869
GHA,2022,76.51284808334208
GHA,2023,81.77858208081531
GHA,2024,98.94777086259712
GIN,1996,-26.62272671016946
GIN,1998,-32.06619057634766
GIN,2000,-38.41539219222592
GIN,2002,-47.42527283105706
GIN,2003,-53.68090242244643
GIN,2004,-50.1226240934286
GIN,2005,-45.633760920072916
GIN,2006,-53.98507515404865
GIN,2007,-64.69007641080215
GIN,2008,-74.3141368761779
GIN,2009,-72.3529292652346
GIN,2010,-53.80680155076181
GIN,2011,-53.882533016612484
GIN,2012,-61.81338199769215
GIN,2013,-64.25296800974711
GIN,2014,-63.695595823128585
GIN,2015,-61.76615933630029
GIN,2016,-65.72308430372408
GIN,2017,-66.97528358687771
GIN,2018,-62.863990460007486
GIN,2019,-68.83491484704717
GIN,2020,-75.18986625083684
GIN,2021,-97.91715790328489
GIN,2022,-101.58555648053782
GIN,2023,-112.09626572181703
GIN,2024,-133.05021905995093
GMB,1996,-14.461800402790232
GMB,1998,-14.307620177315902
GMB,2000,-19.890432266180753
GMB,2002,-14.27430007496553
