year,pop_total,pop_growth,electricity_from_renewables_pct,renewable_energy_consumption_pct,forest_area_pct,gdp_2021_ppp_intl_usd,gdp_growth_pct,gdp_per_capita_2021_ppp_intl_usd,gdp_per_capita_growth_pct,imports_pct_of_gdp,industry_pct_of_gdp,manufacturing_pct_of_gdp,exports_pct_of_gdp,iso_alpha_3
2008,3087100.0,-0.655422477046795,0.0329289428076256,6.4,11.6254302774851,36203910075.1721,6.90000000042959,11727.4821272949,7.60294775074826,40.2765983873899,,,14.2657295739767,ARM
2007,3107400.0,-0.631969382170487,0.0406917599186165,7.0,11.6327362135581,33867081454.6554,13.7000000015467,10898.8483795634,14.4208244850475,38.7856901033422,,,18.1893569819725,ARM
2006,3127100.0,-0.615288463799411,0.00504965494024575,7.7,11.6400421496312,29786351322.9505,13.1999999994661,9525.23146779778,13.8986537041733,38.8841565463432,,,22.1459814355134,ARM
2005,3146400.0,-0.586251738490671,-0.00158302991926547,6.5,11.6473480857042,26313031204.1439,13.8999999991133,8362.90084037119,14.5697018806234,42.8265406335218,,,27.3131979500115,ARM
2004,3164900.0,-0.554559192905497,0.258706467661692,8.7,11.6546540217773,23101871118.8312,10.4999999988202,7299.40001858866,11.1144901880771,44.8798901687648,,,28.1907438231723,ARM
2003,3182500.0,-0.542125640304999,-0.00181785129976368,9.8,11.6619599578504,20906670695.9981,14.0000000015501,6569.26023440631,14.6197014940959,49.5683697098445,,,30.4829978923981,ARM
2002,3199800.0,-0.374321979277905,-0.00905961224859576,8.9,11.6692658939234,18339184820.8016,13.1999999979356,5731.35346609213,13.6245265308361,46.152393477237,,,27.832108365994,ARM
2001,3211800.0,-0.289138848080883,-0.00522193211488251,5.4,11.6765718299965,16200693304.8905,9.59999999927597,5044.11647826468,9.91735475361723,45.7184119969031,,,24.1458543956306,ARM
2000,3221100.0,1.68478463633775,0.00167841557569654,7.2,11.6838777660695,14781654475.3627,5.90000000312092,4589.00825039977,4.13075887426186,50.0719114183969,,,22.1614188089398,ARM
2022,107310.0,-0.362774222330685,,8.8,2.33333333333333,4171963243.75766,8.51791810517545,38877.6744362842,8.91230807871956,85.3138913136662,,,87.5702803628607,ABW
2021,107700.0,-0.82021108315363,14.7971787957078,8.8,2.33333333333333,3844492519.39592,24.1326273569798,35696.3093722926,25.154963851554,76.275533480478,,,70.7400436346823,ABW
2020,108587.0,-0.565684046703506,14.7971787957078,9.1,2.33333333333333,3097084627.34777,-26.2118202145169,28521.6888517757,-25.7932294186771,71.1446628587944,,,52.9926043749021,ABW
2019,109203.0,0.270504632854835,15.0205308345377,8.3,2.33333333333333,4197263892.87771,-2.23244202651868,38435.4266171966,-2.496550426491,72.1089811926666,11.3720370882194,2.56243337150077,73.2345915426225,ABW
2018,108908.0,0.158975971141518,14.6470009449678,8.6,2.33333333333333,4293104972.52697,2.39708619981323,39419.5557032263,2.23442876498228,72.9607783956333,11.3581680555627,3.22501820314885,72.2527739552586,ABW
2017,108735.0,0.007357607309414,14.6995368050798,6.8,2.33333333333333,4192604625.63319,7.04853338603499,38558.0045581753,7.04065746506117,71.2556056890066,12.3948233277596,3.73375379915049,72.5486898260087,ABW
2016,108727.0,0.75796755862231,15.7270434965329,7.0,2.33333333333333,3916545601.34322,1.71962497989442,36021.8308363445,0.951537824831789,70.4193283773103,12.7138223459928,3.68902469279816,71.8204350098217,ABW
2015,107906.0,1.02370103122312,18.9002071637882,6.7,2.33333333333333,3850334291.06464,-0.623625902371245,35682.3002526702,-1.63575344980413,72.9807504481858,12.4688230870932,3.58527899141791,72.8529128494511,ABW
2014,106807.0,1.06551209965487,17.6002094743503,6.9,2.33333333333333,3874496655.79669,-1.58657513817235,36275.6809553371,-2.62961535972701,84.6065584238676,10.799498200524,3.43935218464331,78.2754936773626,ABW
2013,105675.0,1.49203139661921,16.2994170698331,6.9,2.33333333333333,3936959476.04352,6.43148260418822,37255.3534520324,4.85527943148365,85.3429686877605,10.7496624410616,3.26264307471188,76.5483116318725,ABW
2012,104110.0,1.46978228958006,14.7999912516677,6.9,2.33333333333333,3699055373.19706,-1.04079988436683,35530.2600441558,-2.4846479774957,83.5416514017811,10.0760634560669,1.99163765537339,73.1035458041627,ABW
2011,102591.0,0.736689418341162,12.1002063451122,5.7,2.33333333333333,3737960057.14955,3.36923718421511,36435.5553328221,2.61052505937265,84.6867741066482,12.3664483303712,4.20609398852294,69.7510127562388,ABW
2010,101838.0,0.230041095930877,11.3003063047732,5.5,2.33333333333333,3616124254.15126,-2.73345679250639,35508.5945732562,-2.95695264975568,75.2464685871092,11.5460620013165,2.86046777972098,60.2181860904717,ABW
2009,101604.0,0.678450763317743,1.80024234031504,0.3,2.33333333333333,3717747269.41532,-11.6777413693852,36590.560109989,-12.2749362798142,74.6380124647528,13.0430359920285,4.20598999407169,62.9185634689552,ABW
2008,100917.0,0.762933470313563,0.0,0.2,2.33333333333333,4209298230.20474,1.83575517191368,41710.4970441525,1.06177235220186,73.5808547588983,16.1823488793703,6.67084036318234,65.5292950658025,ABW
2007,100150.0,0.746664790352749,0.0,0.2,2.33333333333333,4133418781.15287,3.0895443848509,41272.27939244,2.32267757939195,74.9110469524375,17.4795502921148,6.66602266899619,65.0612625386555,ABW
2006,99405.0,1.79663785158395,0.0,0.2,2.33333333333333,4009542195.39676,1.12741146411624,40335.4176892185,-0.673257700327071,76.4484740814733,17.6558632372378,6.56566033561861,64.5941526531523,ABW
2005,97635.0,2.59075665615847,0.0,0.2,2.33333333333333,3964842110.90432,-0.383137672063768,40608.8196948258,-2.93082349408309,76.9749819561498,16.2974611255338,6.18729480964419,68.0752981880873,ABW
2004,95138.0,2.13535781849357,0.0,0.2,2.33333333333333,3980091340.21122,7.29372807096192,41834.9275811055,5.02691151582482,67.7653712810757,15.5965082540353,5.62202020887743,64.6655585140977,ABW
2003,93128.0,1.13822893851655,0.0,0.2,2.33333333333333,3709528424.23265,1.11050459944282,39832.5790764609,-0.0338394415310148,70.0630780331023,14.8922098082515,4.77750508341168,62.7312132409209,ABW
2002,92074.0,0.692051826700269,0.0,0.2,2.33333333333333,3668786382.70893,-0.944953481157384,39846.0627615715,-1.62809915245946,68.6664578409317,13.2416208673862,4.4258336418259,64.5643135803172,ABW
2001,91439.0,0.93503293482838,0.0,0.2,2.33333333333333,3703785432.08401,4.1820016304779,40505.5330010609,3.21240568796392,69.3943248480407,13.0540690696972,4.27707297760187,70.9967837702649,ABW
2000,90588.0,1.03081685259869,0.0,0.2,2.33333333333333,3555110646.86675,7.62292064930222,39244.8298545806,6.51922376579444,70.6868685663848,13.1759545308158,4.10096377494424,74.3860109498193,ABW
2022,26014399.0,1.27269881377618,,,17.4213145571644,1557837087559.46,4.24238555336139,59883.6470356073,2.92410064137691,20.2901822017406,27.48251427159,5.3749921148473,25.5315880289865,AUS
2021,25685412.0,0.14089508329287,20.937361139354,12.3,17.4213145571644,1494437295625.78,2.11116814768786,58182.3369477501,1.96739983729857,18.2458042920249,25.4208652512055,5.51269475535305,22.0566759771447,AUS
2020,25649248.0,1.23342825131378,16.8875246061136,11.2,17.4213145571644,1463539515544.78,-0.119590735829973,57059.7436441324,-1.34397743292375,20.6377169074661,25.3864557192621,5.60852173149521,24.0267391579698,AUS
2019,25334826.0,1.47749071058438,13.6563342726419,10.3,17.4213145571644,1465291868872.82,2.17154505737176,57837.0606876407,0.673067165560809,22.0278238953145,25.2720792022262,5.58629582518324,24.1596779983146,AUS
2018,24963258.0,1.49599671041328,10.9624941091728,9.8,17.4213145571644,1434148684009.84,2.87846971467883,57450.3810363952,1.35086613147908,21.8419745445958,24.1240577727471,5.76468001596052,21.8940905352475,AUS
2017,24592588.0,1.64682779735017,9.36752719760948,9.9,17.4229136169693,1394022177805.79,2.27959179820343,56684.6473338143,0.609016553617764,20.9471141947652,23.4740606091639,5.79305950257587,21.2566174818153,AUS
2016,24190907.0,1.56194049810399,8.62556175286382,9.6,17.4254877132405,1362952426087.29,2.7593859723839,56341.5181616503,1.16681538734224,21.6953352224542,22.3199755837758,6.07824048774544,19.2787442533207,AUS
2015,23815995.0,1.43921665259925,7.9943519678619,9.4,17.3248245968004,1326353221353.02,2.19016928695221,55691.6988499962,0.729964314626955,21.5978056416682,23.6809068044195,6.29227941742372,20.0661262864303,AUS
2014,23475686.0,1.49156648912847,7.18283619787352,9.3,17.232446012262,1297926435201.99,2.59528411594042,55288.1153378005,1.07636325622693,21.3964196324343,25.5651574750224,6.36290253499428,21.0876033946651,AUS
2013,23128129.0,1.721151439989,5.84994185347075,9.2,17.1400674277235,1265093660382.32,2.60219339436559,54699.3516156156,0.851364693358519,21.2963101496093,25.1864505347463,6.60397548643017,19.9765688678184,AUS
2012,22733465.0,1.74582000067359,4.9172880194157,8.3,17.047688843185,1233008397315.4,3.91670942454073,54237.5919075866,2.11825529215481,21.6711378002023,26.3790215214115,7.0463332040636,21.4931586992533,AUS
2011,22340024.0,1.38952731561803,3.77393428413837,8.3,16.9553102586465,1186535259000.63,2.40708018291988,53112.5328692855,0.993946506952952,20.4138847943582,26.5218436455586,7.36479765734101,21.4372472346938,AUS
2010,22031750.0,1.55570626204128,3.25297533058129,8.2,16.862931674108,1158645727308.34,2.21998026536549,52589.8182081922,0.642043486475501,20.7253270281418,25.1730784269529,7.98782815899755,19.7962619659869,AUS
2009,21691653.0,2.06083316277243,2.74014555008422,7.1,16.8924540827617,1133482636467.42,1.89255581922549,52254.3227326852,-0.185790579384147,22.7298779728897,27.0459736127175,8.4472440645262,23.0109850559796,AUS
2008,21249199.0,2.00391140524272,3.21394945337779,6.8,16.9219764914153,1112429291182.38,3.58626695226046,52351.5870495814,1.53115006701066,22.6978990852209,25.6045756759117,9.19390757602602,20.1488773165122,AUS
2007,20827622.0,1.82499679529254,2.74472871436973,7.0,16.951498900069,1073915803621.98,3.77332171303566,51562.094012556,1.89663870701868,21.8245161029657,25.665940939723,9.27923469017643,20.1835039296691,AUS
2006,20450966.0,1.34945083098893,2.45501009320105,6.8,16.9810213087226,1034866944503.98,2.75534610557227,50602.3502510337,1.37802725495408,21.7059079518,25.6148301545141,9.88080053222087,19.8535392187758,AUS
2005,20176844.0,1.21729073052406,2.09669801005904,6.7,17.0105437173763,1007117375129.8,3.15416753184221,49914.5146351829,1.90609317064833,20.9363741866049,24.6185066162979,10.3252283773591,18.224372786193,AUS
2004,19932722.0,1.06919812205752,1.1264085031125,6.7,17.04006612603,976322526977.807,4.22428481359962,48980.8931754432,3.1158569222052,19.8471453750713,23.9349187410093,10.8735327032285,17.1624682179729,AUS
2003,19720737.0,1.15019273319182,1.06208277098939,7.2,17.0695885346836,936751476610.192,3.09076190489348,47500.8351163647,1.91181254513451,21.1443541839952,24.0420964552713,10.8540818918502,19.0572127285496,AUS
2002,19495210.0,1.1375387361946,0.87763397859858,8.7,17.0991109433373,908666750833.012,3.97958568067362,46609.7441798787,2.80347962904044,20.7224309468224,23.6117317032544,10.5440441221184,20.7266612553969,AUS
2001,19274701.0,1.28396809127349,0.711865915818995,8.4,17.1286333519909,873889566768.973,2.02510553454593,45338.6834259568,0.723509653715439,22.0663780990158,23.6335209682755,10.9763613899876,22.1523263999819,AUS
2000,19028802.0,1.14447285147721,0.58513775782023,8.4,17.1581557606446,856543653829.471,3.9215029305806,45013.0099535152,2.73892956618373,21.5449829026037,24.5505331429934,11.5527393560031,19.3902280759468,AUS
2022,9041851.0,0.956287797076634,,,47.206131846825,593701067125.325,5.27789448538658,65661.4521877573,4.27593327942937,62.4207780743465,25.2055400552551,16.1507615124566,61.9626734104832,AUT
2021,8955797.0,0.435671684056384,19.7907315280683,36.0,47.1720794958798,563937063927.258,4.79532885699543,62968.9422311892,4.33975839929197,55.0789090346153,25.7280321427311,16.9780965394204,55.9533597032853,AUT
2020,8916864.0,0.415176731565556,18.5045480856694,35.8,47.137905962191,538131871027.201,-6.31825509209936,60349.9022781104,-6.70639361073974,48.2851241395359,25.6544867826211,16.5973264696294,51.6630899700616,AUT
2019,8879920.0,0.444673639004876,18.6002370881267,34.0,47.1037324285022,574425542090.663,1.75497619649288,64688.1438223164,1.30350317565873,52.3114775114917,25.5363771006496,17.1022858668807,55.8958073929339,AUT
2018,8840521.0,0.487071924768999,18.094276928458,34.1,47.1639602520601,564518378915.863,2.48422114080024,63855.7816802723,1.98626296400239,52.6757304983207,25.7190926354333,17.3211161045372,55.7022394735073,AUT
2017,8797566.0,0.694621103604983,17.892616790982,34.0,47.1204556471159,550834433468.823,2.27224992038207,62612.1399337979,1.56430689663536,51.2300370800408,25.8023213025638,17.4427051605451,54.3260296753968,AUT
2016,8736668.0,1.08139629872802,16.2666012765708,34.6,47.0769510421716,538596182148.767,2.11721964494312,61647.7794679581,1.01887723192984,48.910092513867,25.9124691845374,17.6682251530651,52.6634020833052,AUT
2015,8642699.0,1.12099250236958,15.9661097413437,34.8,47.0333252544838,527429344454.776,1.30352331826198,61025.999453964,0.174259722821304,49.7215694739361,25.5152402246539,17.242928730216,53.3960122723239,AUT
2014,8546356.0,0.781541632525841,14.0280418105688,35.7,46.9897237033446,520642646157.299,0.755798850316665,60919.8407084024,-0.0285805465757676,50.6405828931259,25.7857017006482,17.1867790689422,53.8561570961341,AUT
2013,8479823.0,0.589387254692989,12.3982240037451,34.6,46.9461221522055,516737152698.048,-0.250726423318454,60937.2569094954,-0.836906795346636,51.0955530299819,25.9697730865151,17.1063898788247,53.8898209853854,AUT
2012,8429991.0,0.45593747231891,10.304023249728,34.4,46.9025206010664,518036005847.01,0.628246239479637,61451.549099757,0.170488694211613,51.5152989482497,26.009804939464,17.2564830895639,54.325492441456,AUT
2011,8391643.0,0.337080841831645,10.1365535684439,31.6,46.8589190499273,514801783004.51,2.92746800169145,61346.9594696188,2.5811033185299,51.4830214892056,25.8570853999006,17.1446473129533,54.2920768831722,AUT
2010,8363404.0,0.240394299500766,9.32875941963784,31.1,46.8153174987882,500159765900.44,1.80898243043663,59803.3726339705,1.56453337880819,48.0609004424225,26.0396419655738,17.0146236665127,51.5839821122491,AUT
2009,8343323.0,0.261953189906348,9.09275261626645,31.3,46.7849491032477,491272728555.347,-3.58626472551299,58882.1418702532,-3.83849307623562,42.1135824199495,26.2777017438174,16.8205431880351,45.4869106822459,AUT
2008,8321496.0,0.313041437661508,9.27698912506918,29.7,46.7545807077072,509546411781.172,1.45330562142114,61232.5490249797,1.13621131218787,49.1453130195427,27.4122024469169,17.8916492533569,53.5983913417575,AUT
2007,8295487.0,0.324146535285463,9.40913281298015,29.0,46.7242123121667,502247224632.161,3.77522468729185,60544.6340440484,3.43938549159965,48.4744751966427,27.7667298480281,18.5487211186086,52.8904832388178,AUT
2006,8268641.0,0.494797775098466,7.7477357732373,26.6,46.6938439166263,483976041628.042,3.26933601506059,58531.5097883729,2.75962370061296,47.5825693830677,27.5909068762418,18.278172325021,51.2031559330564,AUT
2005,8227829.0,0.681267248299787,5.67157948288245,24.4,46.6634755210858,468654162313.448,2.32036514266782,56959.6381151635,1.62565909591297,45.7236031126049,27.4182050564472,17.8503433495394,48.9511516701756,AUT
2004,8171966.0,0.620413127334181,4.69226212744731,23.2,46.6331071255453,458026280164.258,2.56525534067859,56048.4808874949,1.93089688878541,44.2550210841381,27.6147888470095,17.8020784726469,47.2191991038628,AUT
2003,8121423.0,0.487133894826838,3.48703759098614,22.6,46.6027387300049,446570603897.867,1.14156504542775,54986.7435667207,0.650068295894712,42.0565037313482,27.6979359307016,17.9613432652269,44.8257225915126,AUT
2002,8081957.0,0.49198046425522,2.6683626938031,24.7,46.5723703344644,441530248911.306,1.48436877605324,54631.6008500547,0.986311683800295,41.9334403110863,27.6683434292327,18.2889236424197,45.6510533943756,AUT
2001,8042293.0,0.382799394483217,2.84616246857436,25.5,46.5420019389239,435072173415.825,1.31698749571339,54098.0257018521,0.929888060915275,43.1444465379839,28.4398919244968,18.8665063718647,44.8518101806208,AUT
2000,8011566.0,0.240466652446524,2.609220170756,26.4,46.5116335433834,429416807753.224,3.18952292988787,53599.6093339584,2.94168464206538,42.2515162707939,28.6115523176599,18.726691043317,43.591091462861,AUT
2022,10141756.0,0.039507866238038,,,13.9724815486993,213496582562.55,4.71468037857544,21051.2442384287,4.67331801395174,26.9954251873703,56.1467373576856,5.28338982494195,59.9868480668076,AZE
2021,10137750.0,0.441197735816311,1.21956467171083,1.3,13.8329909255898,203884098954.124,5.61644026860644,20111.3756952109,5.15148935615073,29.7981185195358,48.8181736249399,6.41909290668132,46.4887471674792,AZE
