country,policy_count,max_year,min_year,iso3,City/Municipal,International,National,Other,Regional,State/Provincial,Unknown
Philippines,51,2022,2001,PHL,0,11,40,0,0,0,0
Ukraine,50,2022,2000,UKR,0,14,35,0,0,1,0
Latvia,45,2022,2000,LVA,1,9,35,0,0,0,0
Malaysia,44,2022,2006,MYS,0,12,32,0,0,0,0
Malta,44,2022,2000,MLT,1,8,35,0,0,0,0
Iceland,44,2022,2001,ISL,2,29,13,0,0,0,0
Croatia,43,2022,2001,HRV,0,11,32,0,0,0,0
Morocco,42,2022,2000,MAR,0,12,30,0,0,0,0
United Arab Emirates,42,2022,2001,ARE,1,11,18,0,0,12,0
Uruguay,41,2022,2002,URY,0,8,33,0,0,0,0
Thailand,39,2022,2003,THA,0,9,30,0,0,0,0
Costa Rica,38,2021,2002,CRI,0,7,31,0,0,0,0
Nigeria,36,2022,2000,NGA,0,5,31,0,0,0,0
Egypt,36,2022,2004,EGY,0,10,25,1,0,0,0
Kazakhstan,36,2022,2001,KAZ,1,10,25,0,0,0,0
Romania,35,2022,2003,ROU,0,10,25,0,0,0,0
Cyprus,35,2022,2003,CYP,0,10,25,0,0,0,0
Republic of Moldova,35,2021,2001,MDA,0,4,31,0,0,0,0
Liechtenstein,34,2022,2001,LIE,0,26,8,0,0,0,0
Saudi Arabia,33,2022,2001,SAU,0,5,28,0,0,0,0
Ecuador,32,2022,2001,ECU,0,5,27,0,0,0,0
Kenya,31,2022,2000,KEN,0,2,29,0,0,0,0
Bulgaria,31,2022,2003,BGR,0,10,21,0,0,0,0
Panama,30,2021,2002,PAN,0,5,25,0,0,0,0
Slovenia,29,2022,2000,SVN,0,9,20,0,0,0,0
Nicaragua,28,2022,2002,NIC,0,4,24,0,0,0,0
Guatemala,27,2022,2002,GTM,0,6,21,0,0,0,0
Chinese Taipei,27,2022,2001,TWN,0,3,24,0,0,0,0
Azerbaijan,27,2022,2004,AZE,0,4,23,0,0,0,0
Belarus,26,2021,2006,BLR,0,6,19,0,0,1,0
Tunisia,26,2021,2004,TUN,0,6,20,0,0,0,0
Honduras,26,2022,2002,HND,0,5,21,0,0,0,0
Angola,25,2021,2000,AGO,0,4,20,0,0,1,0
Georgia,25,2021,2000,GEO,0,6,13,0,0,6,0
Jordan,25,2022,2001,JOR,0,7,18,0,0,0,0
Algeria,23,2022,2003,DZA,0,2,21,0,0,0,0
Oman,22,2022,2001,OMN,0,6,15,0,0,1,0
El Salvador,22,2021,2002,SLV,0,4,18,0,0,0,0
Islamic Republic of Iran,22,2016,2002,IRN,0,0,22,0,0,0,0
Ghana,22,2021,2000,GHA,0,4,18,0,0,0,0
