,type,C_level
213,"Government spending in low-carbon electricity,Incentives and investments,Government spending in biofuels,Incentives and investments,Government spending in hydrogen,Incentives and investments",C4
205,"Government spending in low-carbon electricity,Incentives and investments,Government spending in carbon capture, use and storage,Incentives and investments,Government spending in hydrogen,Incentives and investments",C4
85,"Government spending in low-carbon electricity,Incentives and investments,Government spending in hydrogen,Incentives and investments",C4
16,"Government spending in low-carbon electricity,Incentives and investments,Grants,Resource push",C4
417,"Government spending in low-carbon electricity,Incentives and investments,Inflexion in import tariff/tariff quota,Trade policies",C4
283,"Government spending in low-carbon electricity,Incentives and investments,Innovation funds,Incentives and investments",C4
52,"Government spending in training programmes,Incentives and investments",C4
33,"Grants,Resource push",C4
288,"Grants,Resource push,Access to facilities,Resource push",C4
198,"Grants,Resource push,Finance,Resource push",C4
20,"Grants,Resource push,Inflexion in export taxes and support,Trade policies",C2
322,"Grants,Resource push,Networking and sharing,Knowledge management",C4
470,"Grants,Resource push,Public information,Knowledge management",C4
186,"ICE sales ban,Regulations",C1
190,"Import ban,Trade policies",C1
67,"Import controls and restrictions,Trade policies",C1
78,"Import controls and restrictions,Trade policies,Inflexion in export tariff/tariff quota,Trade policies,Inflexion in import tariff/tariff quota,Trade policies",C1
185,"Inclusivity and gender policies,Regulations",C2
136,"Inclusivity and gender policies,Regulations,Permitting regimes,Regulations",C2
21,"Inflexion in export tariff/tariff quota,Trade policies",C4
23,"Inflexion in export tariff/tariff quota,Trade policies,Inflexion in import tariff/tariff quota,Trade policies",C4
95,"Inflexion in export taxes and support,Trade policies",C2
22,"Inflexion in import tariff/tariff quota,Trade policies",C4
27,"Inflexion in import taxes,Trade policies",C2
56,"Innovation funds,Incentives and investments",C4
128,"Intellectual property regimes,Knowledge management",C4
104,"International coordination mechanisms,Framework legislation",C3
117,"International coordination mechanisms,Framework legislation,Loans, grants and other financial incentives,Incentives and investments",C3
118,"International coordination mechanisms,Framework legislation,Measurement requirements,Information,Reporting requirements,Information",C3
218,"International coordination mechanisms,Framework legislation,Reduction targets,Framework legislation",C3
231,"Leak detection and repair,Regulations",C2
173,"Leak detection and repair,Regulations,Flaring or venting restrictions,Regulations",C1
116,"Leak detection and repair,Regulations,Flaring or venting restrictions,Regulations,Flaring or venting standards,Regulations",C1
391,"Leak detection and repair,Regulations,Flaring or venting restrictions,Regulations,Flaring or venting standards,Regulations,Facility or company emissions standards,Regulations,Measurement requirements,Information,Reporting requirements,Information",C1
172,"Leak detection and repair,Regulations,Flaring or venting restrictions,Regulations,Flaring or venting standards,Regulations,Process or equipment emissions standards,Regulations,Reporting requirements,Information",C1
365,"Leak detection and repair,Regulations,Flaring or venting restrictions,Regulations,Measurement requirements,Information,Reporting requirements,Information",C1
115,"Leak detection and repair,Regulations,Flaring or venting restrictions,Regulations,Measurement requirements,Information,Reporting requirements,Information,Public disclosure,Information,Framework legislation,Framework legislation",C1
72,"Leak detection and repair,Regulations,Flaring or venting restrictions,Regulations,Permitting requirements,Regulations,Flaring or venting standards,Regulations,Taxes or charges on gas disposal (flaring or venting),Incentives and investments,Emissions estimates and quantification,Information",C1
346,"Leak detection and repair,Regulations,Flaring or venting restrictions,Regulations,Permitting requirements,Regulations,Reporting requirements,Information",C1
220,"Leak detection and repair,Regulations,Flaring or venting restrictions,Regulations,Reduction targets,Framework legislation,Measurement requirements,Information,Reporting requirements,Information,Emissions estimates and quantification,Information,Framework legislation,Framework legislation",C1
225,"Leak detection and repair,Regulations,Flaring or venting restrictions,Regulations,Reporting requirements,Information",C1
